Date,Open,High,Low,Close
2021-11-04,23.5905,24.0395,23.4445,23.7745
2021-11-05,23.7755,24.1685,23.6315,24.1635
2021-11-08,24.186,24.5145,24.05,24.4575
2021-11-09,24.4615,24.4745,24.0325,24.3085
2021-11-10,24.3125,25.1305,24.0675,24.6395
2021-11-11,24.6222,25.2665,24.59,25.2555
2021-11-12,25.2475,25.3845,24.8505,25.3045
2021-11-15,25.3195,25.3845,24.9145,25.0645
2021-11-16,25.095,25.4055,24.76,24.8325
2021-11-17,24.8255,25.2075,24.8115,25.0845
2021-11-18,25.0775,25.1595,24.6875,24.8055
2021-11-19,24.8075,24.9825,24.5605,24.5865
2021-11-22,24.6415,24.8865,24.1075,24.1845
2021-11-23,24.2135,24.3245,23.2785,23.6595
2021-11-24,23.6505,23.6845,23.4005,23.5505
2021-11-25,23.5525,23.7285,23.5165,23.6015
2021-11-26,23.6185,23.7275,22.9235,23.1435
2021-11-29,23.1345,23.4435,22.7575,22.9065
2021-11-30,22.9085,23.3095,22.6965,22.8385
2021-12-01,22.836,23.0325,22.1885,22.3345
2021-12-02,22.3145,22.5035,22.2215,22.3855
2021-12-03,22.4,22.5745,22.0395,22.5455
2021-12-06,22.6105,22.6135,22.1355,22.3875
2021-12-07,22.3895,22.6005,22.2375,22.4995
2021-12-08,22.4938,22.5675,22.3115,22.4325
2021-12-09,22.4186,22.4755,21.8675,21.9615
2021-12-10,21.9895,22.2315,21.8295,22.1765
2021-12-13,22.1855,22.4185,22.1475,22.3345
2021-12-14,22.3005,22.3395,21.6945,21.9485
2021-12-15,21.9324,22.1245,21.4285,22.0895
2021-12-16,22.0737,22.5365,21.9165,22.4815
2021-12-17,22.4676,22.6795,22.3513,22.3635
2021-12-20,22.3985,22.4495,22.1975,22.2655
2021-12-21,22.28,22.7765,22.1835,22.5155
2021-12-22,22.4939,22.8345,22.4465,22.7995
2021-12-23,22.7805,22.9345,22.6615,22.8815
2021-12-27,22.8735,23.1155,22.6535,23.0595
2021-12-28,23.0301,23.4345,22.9695,23.0145
2021-12-29,22.9826,23.1595,22.5942,22.8285
2021-12-30,22.8335,23.1145,22.6045,23.0415
2021-12-31,23.053,23.3355,23.04,23.2665
2022-01-03,23.342,23.4025,22.6805,22.8985
2022-01-04,22.9025,23.1015,22.6485,23.0495
2022-01-05,23.0361,23.2565,22.7315,22.7965
2022-01-06,22.755,22.8215,22.0105,22.1945
2022-01-07,22.1676,22.4385,21.9545,22.3065
2022-01-10,22.342,22.5195,22.1985,22.4685
2022-01-11,22.459,22.8035,22.4485,22.7815
2022-01-12,22.751,23.2215,22.6495,23.1435
2022-01-13,23.1285,23.2705,23.0035,23.0875
2022-01-14,23.0557,23.3115,22.8295,22.9445
2022-01-17,22.981,23.1155,22.8375,23.0245
2022-01-18,23.021,23.6365,22.8074,23.4795
2022-01-19,23.4745,24.2095,23.3819,24.1445
2022-01-20,24.1365,24.6995,24.0706,24.4755
2022-01-21,24.4725,24.5765,24.1735,24.2285
2022-01-24,24.268,24.3135,23.5705,23.9825
2022-01-25,23.9654,23.9875,23.6045,23.8125
2022-01-26,23.8345,23.9715,23.4405,23.5265
2022-01-27,23.5315,23.5995,22.5815,22.7765
2022-01-28,22.7955,22.8225,22.1515,22.4075
2022-01-31,22.462,22.6455,22.2535,22.4685
2022-02-01,22.4617,23.0455,22.4,22.6405
2022-02-02,22.6295,22.8665,22.4715,22.6545
2022-02-03,22.6525,22.6615,22.0115,22.4225
2022-02-04,22.4095,22.6695,22.1215,22.5035
2022-02-07,22.525,23.1035,22.514,23.0105
2022-02-08,23.0125,23.2585,22.7785,23.1895
2022-02-09,23.1785,23.3555,23.1005,23.3135
2022-02-10,23.2807,23.7145,23.1465,23.1965
2022-02-11,23.1875,23.6905,22.8635,23.6125
2022-02-14,23.624,23.9405,23.5285,23.8525
2022-02-15,23.8675,23.9905,23.0885,23.3655
2022-02-16,23.3708,23.6695,23.2835,23.5895
2022-02-17,23.6235,23.9195,23.4245,23.8345
2022-02-18,23.8305,24.0855,23.6865,23.9265
2022-02-21,24.033,24.059,23.7005,23.9575
2022-02-22,23.994,24.3645,23.9105,24.1055
2022-02-23,24.1125,24.5905,24.0305,24.5515
2022-02-24,24.5585,25.6175,23.8685,24.2225
2022-02-25,24.2825,24.4985,23.8805,24.2475
2022-02-28,24.664,24.793,24.0945,24.4525
2022-03-01,24.4475,25.5445,24.2835,25.3745
2022-03-02,25.396,25.4235,24.8615,25.3005
